Year,Donor Types,Age Groups,All States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
1996,Living Donor,11-17 Years,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Living Donor,18-34 Years,"1,423",26,9,14,195,17,13,0,27,40,24,4,63,12,14,5,15,23,5,51,59,75,60,3,37,8,7,4,18,8,97,49,7,68,6,9,73,7,0,10,2,35,94,18,2,28,24,7,51
1996,Living Donor,35-49 Years,"1,747",43,18,15,202,18,29,1,33,60,46,2,74,13,20,8,12,20,5,50,72,100,102,2,38,17,2,10,19,5,99,45,12,86,11,22,75,8,0,11,3,40,101,30,2,45,37,7,77
1996,Living Donor,50-64 Years,567,14,5,3,74,5,9,0,7,23,10,0,20,9,6,4,1,7,4,13,30,31,40,1,10,3,2,2,4,2,40,10,2,20,4,5,32,3,0,5,1,13,25,14,2,9,20,1,22
1996,Living Donor,65 +,36,2,0,0,6,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,2,0,5,0,0,1,0,0,1,0,4,0,0,2,0,2,0,0,0,0,0,1,1,1,0,1,0,0,2
1996,Living Donor,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1995,All Donor Types,All Donor Ages,"19,396",453,205,127,"2,412",304,177,4,208,"1,023",433,18,935,277,143,124,271,377,33,433,547,644,660,46,581,229,29,26,261,104,"1,188",483,31,883,240,229,"1,533",37,0,160,14,440,"1,360",231,27,461,357,36,602
1995,All Donor Types,< 1 Year,152,6,0,1,25,6,0,0,0,8,3,0,12,1,1,0,0,1,0,1,6,0,3,0,17,10,0,0,0,2,4,0,0,2,0,0,21,0,0,0,0,2,10,4,0,2,0,0,4
1995,All Donor Types,1-5 Years,500,9,2,1,58,8,1,0,3,18,8,0,40,3,3,0,1,6,0,18,9,6,11,0,15,21,0,1,1,3,49,6,0,20,3,0,82,1,0,10,0,4,57,2,0,6,5,0,9
1995,All Donor Types,6-10 Years,585,11,12,1,82,4,4,1,5,35,12,1,21,15,3,1,6,14,0,7,12,17,13,3,16,2,0,0,18,4,46,14,0,15,9,4,64,1,0,4,1,12,42,12,0,13,7,3,18
1995,All Donor Types,11-17 Years,"2,582",81,47,14,304,68,19,0,22,154,64,1,131,38,29,26,23,68,1,53,48,76,52,7,92,37,1,3,28,20,81,52,2,102,50,36,193,4,0,21,3,82,216,29,2,62,54,3,83
1995,All Donor Types,18-34 Years,"6,760",181,72,57,837,105,61,0,66,380,168,4,314,125,34,40,89,140,9,161,179,233,242,19,222,77,15,6,73,41,300,184,9,326,79,83,515,14,0,46,5,152,488,86,10,172,116,11,214
1995,All Donor Types,35-49 Years,"5,468",97,51,32,683,70,66,3,71,281,121,6,267,70,35,39,83,97,15,120,203,201,205,13,147,45,5,10,81,24,369,148,9,260,75,71,369,13,0,42,2,116,344,70,10,135,113,12,169
1995,All Donor Types,50-64 Years,"2,905",58,21,20,376,38,25,0,37,129,46,6,122,25,35,18,61,47,6,61,76,100,113,4,64,30,8,6,58,9,254,72,10,140,21,34,239,3,0,31,3,68,184,28,5,62,51,6,95
1995,All Donor Types,65 +,441,10,0,1,46,4,1,0,4,18,11,0,28,0,3,0,8,4,2,12,14,11,21,0,7,7,0,0,2,1,85,7,1,18,3,1,50,1,0,6,0,4,19,0,0,9,11,1,10
1995,All Donor Types,Unknown,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Deceased Donor,All Donor Ages,"15,921",369,168,81,"1,961",267,133,1,153,902,323,11,780,246,114,104,238,334,21,340,389,467,464,42,478,192,19,22,231,84,957,397,16,735,212,189,"1,383",12,0,143,10,361,"1,177",183,17,387,270,29,509
1995,Deceased Donor,< 1 Year,152,6,0,1,25,6,0,0,0,8,3,0,12,1,1,0,0,1,0,1,6,0,3,0,17,10,0,0,0,2,4,0,0,2,0,0,21,0,0,0,0,2,10,4,0,2,0,0,4
1995,Deceased Donor,1-5 Years,500,9,2,1,58,8,1,0,3,18,8,0,40,3,3,0,1,6,0,18,9,6,11,0,15,21,0,1,1,3,49,6,0,20,3,0,82,1,0,10,0,4,57,2,0,6,5,0,9
1995,Deceased Donor,6-10 Years,585,11,12,1,82,4,4,1,5,35,12,1,21,15,3,1,6,14,0,7,12,17,13,3,16,2,0,0,18,4,46,14,0,15,9,4,64,1,0,4,1,12,42,12,0,13,7,3,18
1995,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Deceased Donor,11-17 Years,"2,579",81,47,14,304,68,19,0,22,154,64,1,131,38,29,26,23,68,1,53,48,76,51,7,92,37,1,3,28,20,81,52,2,101,49,36,193,4,0,21,3,82,216,29,2,62,54,3,83
1995,Deceased Donor,18-34 Years,"5,446",151,57,38,654,93,44,0,48,341,120,0,242,114,25,34,79,125,3,128,119,169,176,16,175,64,12,6,64,30,212,151,6,270,69,72,450,4,0,38,3,127,407,70,3,149,96,10,182
1995,Deceased Donor,35-49 Years,"3,871",57,31,13,469,52,54,0,48,217,71,6,200,55,19,30,63,78,9,78,130,122,119,12,97,28,2,7,68,15,268,107,1,188,64,49,311,2,0,35,1,78,266,45,8,97,64,7,130
1995,Deceased Donor,50-64 Years,"2,382",44,19,12,326,31,11,0,24,112,38,3,107,20,31,13,58,39,6,45,54,67,74,4,59,23,4,5,50,9,218,62,6,121,15,28,212,0,0,29,2,52,160,21,4,49,35,5,75
1995,Deceased Donor,65 +,404,10,0,1,42,4,0,0,3,17,7,0,27,0,3,0,8,3,2,10,11,10,17,0,7,7,0,0,2,1,79,5,1,18,3,0,50,0,0,6,0,4,19,0,0,9,9,1,8
1995,Deceased Donor,Unknown,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Living Donor,All Donor Ages,"3,475",84,37,46,451,37,44,3,55,121,110,7,155,31,29,20,33,43,12,93,158,177,196,4,103,37,10,4,30,20,231,86,15,148,28,40,150,25,0,17,4,79,183,48,10,74,87,7,93
1995,Living Donor,11-17 Years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Living Donor,18-34 Years,"1,314",30,15,19,183,12,17,0,18,39,48,4,72,11,9,6,10,15,6,33,60,64,66,3,47,13,3,0,9,11,88,33,3,56,10,11,65,10,0,8,2,25,81,16,7,23,20,1,32
1995,Living Donor,35-49 Years,"1,597",40,20,19,214,18,12,3,23,64,50,0,67,15,16,9,20,19,6,42,73,79,86,1,50,17,3,3,13,9,101,41,8,72,11,22,58,11,0,7,1,38,78,25,2,38,49,5,39
1995,Living Donor,50-64 Years,523,14,2,8,50,7,14,0,13,17,8,3,15,5,4,5,3,8,0,16,22,33,39,0,5,7,4,1,8,0,36,10,4,19,6,6,27,3,0,2,1,16,24,7,1,13,16,1,20
1995,Living Donor,65 +,37,0,0,0,4,0,1,0,1,1,4,0,1,0,0,0,0,1,0,2,3,1,4,0,0,0,0,0,0,0,6,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2
1995,Living Donor,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,All Donor Types,All Donor Ages,"18,299",410,233,121,"2,298",250,144,1,215,760,430,34,807,315,229,105,251,384,47,329,544,599,624,61,607,243,39,23,244,76,"1,061",528,41,843,255,234,"1,370",32,0,194,15,384,"1,290",192,17,460,362,36,562
1994,All Donor Types,< 1 Year,156,1,1,4,27,5,0,0,1,13,5,0,7,3,3,0,1,2,0,0,2,2,2,0,16,6,0,0,0,0,1,2,0,2,1,0,24,0,0,0,0,0,16,3,0,3,0,0,3
1994,All Donor Types,1-5 Years,473,5,6,4,74,13,7,0,8,13,10,0,27,6,6,0,0,6,0,15,9,7,6,0,12,18,0,0,0,4,32,6,1,36,6,1,57,1,0,3,0,2,50,4,1,8,3,0,6
1994,All Donor Types,6-10 Years,505,10,5,4,55,6,3,0,3,25,5,2,15,12,4,4,1,6,0,9,11,23,19,1,34,14,1,0,3,0,37,11,3,30,5,12,55,1,0,8,0,5,29,3,0,10,7,1,13
1994,All Donor Types,11-17 Years,"2,500",70,51,18,278,56,21,0,20,91,42,3,104,66,37,17,48,65,6,32,51,76,70,14,76,31,2,1,31,18,119,73,4,151,39,42,168,5,0,20,0,66,171,46,2,67,68,1,63
1994,All Donor Types,18-34 Years,"6,647",170,112,45,896,77,51,0,77,304,166,13,270,131,72,48,97,168,13,106,198,219,222,27,224,66,13,5,65,36,371,188,13,271,87,78,400,12,0,92,6,151,486,69,5,181,134,12,200
1994,All Donor Types,35-49 Years,"5,019",87,42,31,630,73,36,1,58,197,128,10,236,75,60,27,56,101,15,100,181,174,199,8,155,54,15,11,80,13,288,165,8,224,73,73,379,8,0,32,7,96,355,44,5,113,97,16,183
1994,All Donor Types,50-64 Years,"2,624",56,16,15,274,16,25,0,44,115,62,6,120,22,45,9,47,36,13,49,82,89,98,11,75,43,6,6,57,4,185,73,11,106,38,27,250,4,0,35,1,58,159,20,3,73,47,4,89
1994,All Donor Types,65 +,369,11,0,0,61,4,1,0,4,2,11,0,28,0,2,0,1,0,0,18,10,9,7,0,15,11,2,0,8,1,28,10,1,23,6,1,36,1,0,4,1,6,24,3,1,5,6,2,5
1994,All Donor Types,Unknown,6,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994,Deceased Donor,All Donor Ages,"15,211",319,191,83,"1,880",224,113,0,161,667,338,27,665,286,190,91,222,326,37,267,395,456,452,55,524,224,27,15,225,74,866,439,28,710,233,210,"1,231",13,0,166,7,311,"1,119",142,11,415,275,28,473
1994,Deceased Donor,< 1 Year,156,1,1,4,27,5,0,0,1,13,5,0,7,3,3,0,1,2,0,0,2,2,2,0,16,6,0,0,0,0,1,2,0,2,1,0,24,0,0,0,0,0,16,3,0,3,0,0,3
1994,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Deceased Donor,1-5 Years,473,5,6,4,74,13,7,0,8,13,10,0,27,6,6,0,0,6,0,15,9,7,6,0,12,18,0,0,0,4,32,6,1,36,6,1,57,1,0,3,0,2,50,4,1,8,3,0,6
1994,Deceased Donor,6-10 Years,505,10,5,4,55,6,3,0,3,25,5,2,15,12,4,4,1,6,0,9,11,23,19,1,34,14,1,0,3,0,37,11,3,30,5,12,55,1,0,8,0,5,29,3,0,10,7,1,13
1994,Deceased Donor,11-17 Years,"2,497",70,51,18,277,56,21,0,20,91,42,3,104,66,37,17,48,65,6,32,51,76,70,14,76,31,2,1,31,18,118,73,4,151,39,42,168,5,0,20,0,66,170,46,2,67,68,1,63
1994,Deceased Donor,18-34 Years,"5,375",128,91,29,704,67,37,0,51,260,139,9,205,117,61,40,84,141,11,76,139,155,164,23,191,56,11,4,58,36,288,158,7,222,81,71,350,2,0,79,3,121,397,51,2,166,106,9,175
1994,Deceased Donor,35-49 Years,"3,680",48,28,17,449,60,28,0,38,160,86,9,178,64,38,22,45,77,9,78,114,113,116,6,116,50,7,5,74,12,229,112,3,161,62,63,317,1,0,21,2,56,294,18,2,92,53,12,135
1994,Deceased Donor,50-64 Years,"2,183",46,9,7,231,13,16,0,37,103,42,4,104,18,41,8,42,29,11,40,62,71,68,11,64,38,4,5,51,3,137,68,9,88,34,21,224,3,0,31,1,55,141,14,3,64,33,3,76
1994,Deceased Donor,65 +,337,11,0,0,60,4,1,0,3,2,8,0,25,0,0,0,1,0,0,17,7,9,7,0,15,11,2,0,8,1,24,9,1,20,5,0,35,0,0,4,1,6,22,3,1,5,5,2,2
1994,Deceased Donor,Unknown,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994,Living Donor,All Donor Ages,"3,088",91,42,38,418,26,31,1,54,93,92,7,142,29,39,14,29,58,10,62,149,143,172,6,83,19,12,8,19,2,195,89,13,133,22,24,139,19,0,28,8,73,171,50,6,45,87,8,89
1994,Living Donor,11-17 Years,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1994,Living Donor,18-34 Years,"1,272",42,21,16,192,10,14,0,26,44,27,4,65,14,11,8,13,27,2,30,59,64,58,4,33,10,2,1,7,0,83,30,6,49,6,7,50,10,0,13,3,30,89,18,3,15,28,3,25
1994,Living Donor,35-49 Years,"1,339",39,14,14,181,13,8,1,20,37,42,1,58,11,22,5,11,24,6,22,67,61,83,2,39,4,8,6,6,1,59,53,5,63,11,10,62,7,0,11,5,40,61,26,3,21,44,4,48
1994,Living Donor,50-64 Years,441,10,7,8,43,3,9,0,7,12,20,2,16,4,4,1,5,7,2,9,20,18,30,0,11,5,2,1,6,1,48,5,2,18,4,6,26,1,0,4,0,3,18,6,0,9,14,1,13
1994,Living Donor,65 +,32,0,0,0,1,0,0,0,1,0,3,0,3,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4,1,0,3,1,1,1,1,0,0,0,0,2,0,0,0,1,0,3
1994,Living Donor,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,All Donor Types,All Donor Ages,"17,631",416,225,133,"2,314",303,159,1,210,634,423,26,663,306,195,105,243,299,31,311,532,555,630,36,542,252,49,27,219,62,997,347,34,834,227,236,"1,559",37,0,163,5,438,"1,260",203,5,426,348,32,579
1993,All Donor Types,< 1 Year,172,2,0,7,31,8,0,0,5,3,2,0,10,5,1,0,3,0,0,1,5,1,3,0,14,4,0,0,0,0,4,2,0,5,0,0,33,0,0,0,0,3,13,1,0,3,1,0,2
1993,All Donor Types,1-5 Years,503,7,2,4,92,9,13,0,5,4,4,0,13,5,4,0,8,8,0,20,22,4,14,0,15,16,0,0,0,1,25,6,1,21,1,0,108,1,0,8,0,6,39,1,0,5,4,1,6
1993,All Donor Types,6-10 Years,494,14,16,4,77,9,3,0,5,13,14,4,20,1,2,3,7,14,2,2,11,11,19,0,15,7,0,0,3,4,35,6,2,16,10,4,51,0,0,3,0,8,37,8,0,14,5,1,14
1993,All Donor Types,11-17 Years,"2,467",53,29,18,269,50,20,0,15,94,67,0,134,47,26,23,36,62,3,23,74,90,63,7,100,41,9,5,31,8,101,39,1,119,37,45,171,5,0,42,0,77,186,45,0,73,57,3,69
1993,All Donor Types,18-34 Years,"6,683",168,120,50,820,113,63,1,100,279,177,15,232,138,63,38,89,133,9,116,180,213,254,16,214,87,10,4,71,26,367,136,14,343,64,83,492,16,0,57,2,176,531,66,0,163,152,11,211
1993,All Donor Types,35-49 Years,"4,456",109,42,36,584,85,38,0,48,156,99,6,153,80,51,30,57,52,7,77,144,160,170,6,133,48,11,12,63,14,243,106,11,217,76,70,343,10,0,32,3,117,292,58,2,115,93,9,188
1993,All Donor Types,50-64 Years,"2,473",60,16,14,378,26,20,0,26,80,49,1,81,30,42,10,42,28,8,59,84,69,89,7,46,42,16,5,41,8,198,46,5,100,36,34,283,5,0,17,0,44,137,23,1,48,36,4,79
1993,All Donor Types,65 +,383,3,0,0,63,3,2,0,6,5,11,0,20,0,6,1,1,2,2,13,12,7,18,0,5,7,3,1,10,1,24,6,0,13,3,0,78,0,0,4,0,7,25,1,2,5,0,3,10
1993,Deceased Donor,All Donor Ages,"14,733",312,179,105,"1,934",278,133,0,147,557,347,22,550,256,162,92,214,253,25,253,418,414,437,35,462,222,44,24,207,61,828,286,21,712,195,205,"1,401",13,0,140,1,359,"1,073",150,5,391,293,22,495
1993,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Deceased Donor,< 1 Year,172,2,0,7,31,8,0,0,5,3,2,0,10,5,1,0,3,0,0,1,5,1,3,0,14,4,0,0,0,0,4,2,0,5,0,0,33,0,0,0,0,3,13,1,0,3,1,0,2
1993,Deceased Donor,1-5 Years,502,7,2,4,92,9,13,0,5,4,4,0,13,5,4,0,8,8,0,20,22,4,14,0,15,16,0,0,0,1,25,6,1,21,1,0,107,1,0,8,0,6,39,1,0,5,4,1,6
1993,Deceased Donor,6-10 Years,494,14,16,4,77,9,3,0,5,13,14,4,20,1,2,3,7,14,2,2,11,11,19,0,15,7,0,0,3,4,35,6,2,16,10,4,51,0,0,3,0,8,37,8,0,14,5,1,14
1993,Deceased Donor,11-17 Years,"2,463",53,29,18,268,50,20,0,14,94,67,0,134,47,26,23,36,62,3,23,74,90,63,7,100,41,9,5,31,8,101,39,1,119,37,45,171,5,0,42,0,77,185,45,0,72,57,3,69
1993,Deceased Donor,18-34 Years,"5,442",136,96,38,656,105,52,0,64,244,147,12,166,121,52,31,76,109,6,88,130,159,172,15,183,68,8,4,64,26,299,114,4,292,53,76,430,4,0,44,1,142,438,47,0,148,135,7,180
1993,Deceased Donor,35-49 Years,"3,257",55,26,27,411,70,28,0,29,129,69,5,119,51,34,25,47,38,5,55,104,89,99,6,92,38,8,9,61,13,190,76,9,161,61,52,277,0,0,24,0,84,230,30,2,101,65,5,148
1993,Deceased Donor,50-64 Years,"2,048",42,10,7,339,24,15,0,19,65,34,1,68,26,37,9,36,22,7,51,63,54,55,7,38,41,16,5,38,8,152,37,4,85,30,28,256,3,0,15,0,33,110,18,1,43,26,3,67
1993,Deceased Donor,65 +,355,3,0,0,60,3,2,0,6,5,10,0,20,0,6,1,1,0,2,13,9,6,12,0,5,7,3,1,10,1,22,6,0,13,3,0,76,0,0,4,0,6,21,0,2,5,0,2,9
1993,Living Donor,All Donor Ages,"2,898",104,46,28,380,25,26,1,63,77,76,4,113,50,33,13,29,46,6,58,114,141,193,1,80,30,5,3,12,1,169,61,13,122,32,31,158,24,0,23,4,79,187,53,0,35,55,10,84
1993,Living Donor,1-5 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1993,Living Donor,11-17 Years,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1993,Living Donor,18-34 Years,"1,241",32,24,12,164,8,11,1,36,35,30,3,66,17,11,7,13,24,3,28,50,54,82,1,31,19,2,0,7,0,68,22,10,51,11,7,62,12,0,13,1,34,93,19,0,15,17,4,31
1993,Living Donor,35-49 Years,"1,199",54,16,9,173,15,10,0,19,27,30,1,34,29,17,5,10,14,2,22,40,71,71,0,41,10,3,3,2,1,53,30,2,56,15,18,66,10,0,8,3,33,62,28,0,14,28,4,40
1993,Living Donor,50-64 Years,425,18,6,7,39,2,5,0,7,15,15,0,13,4,5,1,6,6,1,8,21,15,34,0,8,1,0,0,3,0,46,9,1,15,6,6,27,2,0,2,0,11,27,5,0,5,10,1,12
1993,Living Donor,65 +,28,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,4,1,0,0,0,1,1
1992,All Donor Types,All Donor Ages,"16,134",316,153,109,"2,147",205,131,0,255,631,362,43,588,291,137,99,184,304,31,253,535,551,606,19,439,237,41,4,184,61,950,349,28,871,159,210,"1,521",38,0,149,0,363,"1,215",191,0,362,298,41,473
1992,All Donor Types,< 1 Year,125,2,0,1,27,7,0,0,0,2,4,0,5,1,0,0,0,2,0,0,2,0,1,0,10,7,0,0,0,0,3,2,0,3,0,0,32,0,0,2,0,2,3,4,0,3,0,0,0
1992,All Donor Types,1-5 Years,497,14,1,1,128,6,7,0,6,13,5,0,18,2,1,0,3,8,0,8,8,7,8,0,7,15,0,0,1,0,30,12,0,27,6,1,90,1,0,7,0,6,36,1,0,4,5,0,4
1992,All Donor Types,6-10 Years,503,10,4,5,73,7,1,0,4,16,13,0,18,7,5,1,0,9,0,13,10,6,24,1,12,4,1,0,4,2,42,12,0,38,5,9,59,1,0,15,0,6,31,3,0,8,16,0,8
1992,All Donor Types,11-17 Years,"2,050",41,31,9,245,40,13,0,14,82,37,9,70,43,19,19,14,59,3,32,70,83,73,2,95,41,2,0,27,14,87,42,3,77,20,26,182,1,0,20,0,51,169,38,0,50,34,3,60
1992,All Donor Types,18-34 Years,"6,144",97,55,41,816,89,58,0,105,272,144,13,267,120,52,32,69,142,10,91,196,202,185,11,163,69,15,2,77,23,372,127,7,366,58,93,471,18,0,37,0,147,505,68,0,156,98,15,190
1992,All Donor Types,35-49 Years,"4,344",84,51,38,534,34,36,0,70,178,107,12,122,79,44,31,53,68,8,63,130,170,184,1,108,54,17,1,46,18,264,118,11,242,45,58,373,15,0,43,0,113,318,34,0,88,102,15,164
1992,All Donor Types,50-64 Years,"2,135",62,9,12,276,18,15,0,47,66,42,9,67,38,16,14,40,15,10,39,102,78,105,3,43,39,5,1,20,4,127,33,6,99,22,22,251,2,0,22,0,34,141,41,0,50,42,4,44
1992,All Donor Types,65 +,331,6,2,2,43,4,1,0,9,2,10,0,21,1,0,2,5,1,0,7,17,5,26,1,1,8,1,0,9,0,25,3,1,19,3,1,63,0,0,3,0,4,12,2,0,3,1,4,3
1992,All Donor Types,Unknown,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,All Donor Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Deceased Donor,All Donor Ages,"13,563",242,133,73,"1,860",189,101,0,182,551,273,39,509,248,114,87,154,264,24,211,423,421,464,17,379,221,30,3,178,56,789,289,18,756,137,175,"1,391",9,0,122,0,276,"1,015",149,0,324,244,35,388
1992,Deceased Donor,< 1 Year,125,2,0,1,27,7,0,0,0,2,4,0,5,1,0,0,0,2,0,0,2,0,1,0,10,7,0,0,0,0,3,2,0,3,0,0,32,0,0,2,0,2,3,4,0,3,0,0,0
1992,Deceased Donor,1-5 Years,497,14,1,1,128,6,7,0,6,13,5,0,18,2,1,0,3,8,0,8,8,7,8,0,7,15,0,0,1,0,30,12,0,27,6,1,90,1,0,7,0,6,36,1,0,4,5,0,4
1992,Deceased Donor,6-10 Years,503,10,4,5,73,7,1,0,4,16,13,0,18,7,5,1,0,9,0,13,10,6,24,1,12,4,1,0,4,2,42,12,0,38,5,9,59,1,0,15,0,6,31,3,0,8,16,0,8
1992,Deceased Donor,11-17 Years,"2,049",41,31,9,245,40,13,0,14,82,37,9,70,43,19,19,14,59,3,32,70,83,73,2,95,41,2,0,27,14,87,42,3,77,20,26,182,1,0,20,0,51,168,38,0,50,34,3,60
1992,Deceased Donor,18-34 Years,"5,024",73,44,22,679,80,45,0,71,235,114,11,224,101,45,27,54,122,8,72,144,136,134,10,134,62,14,1,72,23,305,100,3,322,56,79,420,3,0,25,0,105,408,54,0,141,73,12,161
1992,Deceased Donor,35-49 Years,"3,275",45,45,25,420,28,22,0,40,147,69,11,98,58,32,28,42,49,4,45,86,122,122,0,83,45,9,1,46,14,200,93,5,192,31,40,322,3,0,32,0,74,240,19,0,70,83,13,122
1992,Deceased Donor,50-64 Years,"1,788",51,8,8,241,17,12,0,39,54,26,8,55,35,12,10,36,14,9,34,88,63,82,3,38,39,3,1,19,3,103,25,6,78,16,20,226,0,0,18,0,28,118,29,0,46,33,3,31
1992,Deceased Donor,65 +,297,6,0,2,42,4,1,0,8,2,5,0,21,1,0,2,5,1,0,7,15,4,20,1,0,8,1,0,9,0,19,3,1,19,3,0,60,0,0,3,0,4,11,1,0,2,0,4,2
1992,Deceased Donor,Unknown,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,Living Donor,All Donor Ages,"2,571",74,20,36,287,16,30,0,73,80,89,4,79,43,23,12,30,40,7,42,112,130,142,2,60,16,11,1,6,5,161,60,10,115,22,35,130,29,0,27,0,87,200,42,0,38,54,6,85
1992,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1992,Living Donor,18-34 Years,"1,120",24,11,19,137,9,13,0,34,37,30,2,43,19,7,5,15,20,2,19,52,66,51,1,29,7,1,1,5,0,67,27,4,44,2,14,51,15,0,12,0,42,97,14,0,15,25,3,29
1992,Living Donor,35-49 Years,"1,069",39,6,13,114,6,14,0,30,31,38,1,24,21,12,3,11,19,4,18,44,48,62,1,25,9,8,0,0,4,64,25,6,50,14,18,51,12,0,11,0,39,78,15,0,18,19,2,42
1992,Living Donor,50-64 Years,347,11,1,4,35,1,3,0,8,12,16,1,12,3,4,4,4,1,1,5,14,15,23,0,5,0,2,0,1,1,24,8,0,21,6,2,25,2,0,4,0,6,23,12,0,4,9,1,13
1992,Living Donor,65 +,34,0,2,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,2,1,6,0,1,0,0,0,0,0,6,0,0,0,0,1,3,0,0,0,0,0,1,1,0,1,1,0,1
1991,All Donor Types,All Donor Ages,"15,756",312,168,84,"2,133",179,144,0,256,602,321,30,587,277,140,117,219,292,44,184,568,554,549,26,458,238,34,0,168,87,862,361,23,772,137,163,"1,494",36,0,114,0,366,"1,172",229,15,368,348,34,491
1991,All Donor Types,< 1 Year,201,2,0,0,48,3,1,0,2,0,0,0,9,4,1,0,3,0,0,2,7,1,1,0,14,8,0,0,0,0,7,0,0,7,2,0,43,0,0,0,0,5,17,0,0,10,0,0,4
1991,All Donor Types,1-5 Years,549,4,2,3,117,3,2,0,3,6,9,0,21,7,4,0,5,10,0,8,11,15,4,0,11,16,0,0,1,0,21,8,0,32,5,3,97,2,0,2,0,6,80,4,0,9,6,0,12
1991,All Donor Types,6-10 Years,510,10,6,7,80,4,4,0,2,26,15,2,21,8,1,3,3,13,2,4,18,18,17,2,11,8,0,0,6,2,35,5,0,20,6,1,59,1,0,3,0,16,22,9,0,8,15,0,17
